sandi,2016,2017,2018,2019,2020,2021,2022,2023,2024
777930039,0.0,0.0,0.0,3.0,4.67,0.0,0.0,0.0,0.0
777958791,0.0,0.0,4.6,3.5,4.0,2.64,0.0,0.0,0.0
777959295,0.0,0.0,3.9,3.85,3.9,4.03,0.0,0.0,0.0
777958123,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0
777959294,0.0,0.0,3.55,3.55,3.05,0.0,0.0,0.0,0.0
777930047,0.0,0.0,0.0,1.15,1.15,3.5,0.0,1.0,0.0
777959545,0.0,0.0,3.8,3.8,5.0,0.0,0.0,0.0,0.0
777930050,0.0,0.0,0.0,4.0,4.0,1.5,1.5,2.0,0.0
777249101,0.0,0.0,4.25,4.45,3.95,0.0,0.0,0.0,0.0
777959296,0.0,0.0,5.0,4.0,3.0,5.0,0.0,0.0,0.0
777959304,0.0,0.0,4.85,4.45,4.25,5.0,0.0,0.0,0.0
777959414,0.0,0.0,0.0,3.3,0.0,0.0,0.0,2.0,0.0
777930115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
777930102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
777249397,0.0,0.0,3.5,3.5,2.65,5.0,0.0,0.0,0.0
777930085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
777930070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
777930043,0.0,0.0,0.0,3.0,3.0,0.0,2.0,0.0,0.0
777930064,0.0,0.0,0.0,0.0,0.0,1.95,0.0,1.0,0.0
777930080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
777930105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
777930066,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
777958129,0.0,0.0,0.0,2.1,1.0,1.1,0.0,2.0,0.0
777930084,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1.88,1.59
777930068,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
777930072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
777930067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
777958675,0.0,0.0,2.87,1.15,1.15,3.88,0.0,1.0,0.0
777930090,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
777930087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
777958112,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
777930063,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
777930091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
777930060,0.0,0.0,0.0,0.0,2.75,5.0,0.0,0.0,0.0
777930092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
777930100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
777930055,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0
