sandi,no_izin,nama,tgl_jatuh_tempo_izin,npwp,modal_disetor,kpwdn,pulau,provinsi,kota,pengurus,pemegang_saham
777249235,17/190/Btm/71,Homasindo Sukses Abadi d/h PT Batam Ekspres Utama,,73.346.600.7-215.000,2000000000,KPwBI Provinsi Kepulauan Riau,Sumatera,Provinsi Kep. Riau,Kota Batam,Sorostel,Alex Fernando; SOROSTEL
777249397,19/202/Btm/75,Buru Jaya Remitansi,,80.659.856.1-215.000,500000000,KPwBI Provinsi Kepulauan Riau,Sumatera,Provinsi Kep. Riau,Kota Batam,SYUKRI ER RAHMAD,IWAN KERISNAWAN; JOHAN
777249398,19/203/Btm/76,Nusa Jaya Mandiri Remittance,,80.659.850.4-215.000,500000000,KPwBI Provinsi Kepulauan Riau,Sumatera,Provinsi Kep. Riau,Kota Batam,Susanti,Santoso ; Susanti
777249409,19/208/PTK/6,Internasional Sukses Remiten,,80.391.105.6-701.000,500000000,KPwBI Provinsi Kalimantan Barat,Kalimantan,Provinsi Kalimantan Barat,Kota Pontianak,Yong Hok,Suarnati; Suwandi; Yong Hok
777249428,,Asia Karunia Raya,,80.047.212.8-215.000,1500000000,KPwBI Provinsi Kepulauan Riau,,,,Rudias ; Tandias Pangestu,Rudias ; Tandias Pangestu
777249429,19/214/Btm/79,Citra Prima Remitansi,,82.015.463.1-215.000,500000000,KPwBI Provinsi Kepulauan Riau,Sumatera,Provinsi Kep. Riau,Kota Batam,Keng Hau,Keng Hau; Syamsul
777249464,20/219/Mdn/12,Permata Artha Yudha,,76.538.045.6-125.000,0,KPwBI Provinsi Sumatera Utara,Sumatera,Provinsi Sumatera Utara,Kab. Deli Serdang,,
777249485,20/226/Mtr/4,Aneka Express Remittance,01/01/0001,,500000000,KPwBI Provinsi Nusa Tenggara Barat,Bali-Nusra,Provinsi Nusa Tenggara Barat,Kota Mataram,Endra Wijaya,
777249517,19/205/Sr/2,Jaringan Transfer Nusantara,,74.823.119.8-411.000,500000000,KPwBI Provinsi Banten,Jawa,Provinsi Banten,Kota Tangerang Selatan,Agustina Batubara; Jan V Harapan,Nicholas See Yew Seing; Sean Agrippin Ardianto Lim
777930015,18/196/DKSP/68,Fliptech Lentera Inspirasi Pertiwi,,74.903.660.4-412.000,1200000000,KPwBI Provinsi DKI Jakarta,Jawa,Provinsi Jawa Barat,Kota Depok,Ginanjar Ibnu Solikhin; Luqman Sungkar; Rafi Putra Arriyan,Bachtiar Sunasto ; Ginanjar Ibnu Solikhin; Luqman Sungkar; Rafi Putra Arriyan
777930016,19/200/DKSP/70,VIT Remittance,,,0,KPwBI Provinsi DKI Jakarta,Jawa,Provinsi DKI Jakarta,Wil. Kota Jakarta Utara,,
777930018,19/207/DKSP/73,Madame Express Remitindo,,75.239.062.5-408.000,0,KPwBI Provinsi DKI Jakarta,Jawa,Provinsi Jawa Barat,Kab. Karawang,,
777930019,19/208/Btm/78,Banda Internasional Remittance,,76.676.800.6-215.000,500000000,KPwBI Provinsi Kepulauan Riau,Sumatera,Provinsi Kep. Riau,Kota Batam,Sukriadi,Sabbihausni; Sukriadi
777930020,19/210/Bd/6,Surya Indojaya Gemilang,09/10/2026,75.531.969.6-429.000,1600000000,KPwBI Provinsi Jawa Barat,Jawa,Provinsi Jawa Barat,Kota Bandung,Fero Darmawi,Fero Darmawi; Yan Darmawi
777930021,19/213/Btm/78,Atlantik Jaya Remitansi,,82.015.635.4-215.000,250000000,KPwBI Provinsi Kepulauan Riau,Sumatera,Provinsi Kep. Riau,Kota Batam,Budi,Budi; You po
777930022,19/215/Btm/80,Anugrah Multi Remittance,,81.636.962.3-215.000,2000000000,KPwBI Provinsi Kepulauan Riau,Sumatera,Provinsi Kep. Riau,Kota Batam,Shau Ken Narwan Chen Putra,Ronika Butarbutar; Shau Ken Narwan Chen Putra
777930023,19/216/Btm/81,Antolys Cahaya Eksekutif,,81.494.645.5-215.000,500000000,KPwBI Provinsi Kepulauan Riau,Sumatera,Provinsi Kep. Riau,Kota Batam,A Nie,A Nie ; Kelvianto
777930024,19/209/Sb/4,Mitra Trans Optimal,,80.051.485.3-606.000,5000000000,KPwBI Provinsi Jawa Timur,Jawa,Provinsi Jawa Timur,Kota Surabaya,FX Gunawan Surya Suhardi; Sri Handayani,Cindranita Suhardi; Djoni Human Suhardi
777930025,19/212/DKSP/75,Teleanjar,,02.015.525.5-011.000,1192000000,KPwBI Provinsi DKI Jakarta,Jawa,Provinsi DKI Jakarta,Wil. Kota Jakarta Selatan,Mahmur Suriadiredja; Study Eka Putera,Ernest Irbardyanto Rares; PT Mitra Global Komunikasi
777930026,19/201/DKSP/71,EMQ Indonesia,,19.219.280.9-182.918,1000000000,KPwBI Provinsi DKI Jakarta,Jawa,Provinsi DKI Jakarta,Wil. Kota Jakarta Selatan,test,test
777930028,No 20/221/DKSP/78,Nusa Eksprestama Remittance,,,0,KPwBI Provinsi DKI Jakarta,Jawa,Provinsi DKI Jakarta,Wil. Kota Jakarta Pusat,,
777930030,20/218/DKSP/77,KSP Sahabat Mitra Sejati,,,0,KPwBI Provinsi DKI Jakarta,Jawa,Provinsi DKI Jakarta,Wil. Kota Jakarta Selatan,,
777930031,20/224/DKSP/80,Remitindo Dollar Asia Sejahtera,,71.702.978.9-043.000,500000000,KPwBI Provinsi DKI Jakarta,Jawa,Provinsi DKI Jakarta,Wil. Kota Jakarta Utara,REGINA; SUGITO,EMANUEL PUDJI ASTUTI; JOHANNES SIMBOLON; POPY SURJANTO
777930033,18/197/Btm/74,Axa Jaya Remitten,,75.320.898.2-215.000,500000000,KPwBI Provinsi Kepulauan Riau,Sumatera,Provinsi Kep. Riau,Kota Batam,Nur Feni Aryani,Nur Feni Aryani; Sartika
777930034,18/193/Btm/73,Hartono Sukses Sejahtera,,73.358.904.1-921.500,500000000,KPwBI Provinsi Kepulauan Riau,Sumatera,Provinsi Kep. Riau,Kota Batam,Jeffry Setiawan Hartono,Jeffry Setiawan Hartono; Rendy Willim
777930035,20/220/Btm/82,Citra Agung Pratama Remitansi,,82.995.323.1-215.000,300000000,KPwBI Provinsi Kepulauan Riau,Sumatera,Provinsi Kep. Riau,Kota Batam,Riyanto,Julianto; Riyanto
777930036,20/225/Btm/83,Frengky Jaya Remitansi,,83.296.130.4-215.000,500000000,KPwBI Provinsi Kepulauan Riau,Sumatera,Provinsi Kep. Riau,Kota Batam,Hendrikka Agustian Kusmin,Hendrikka Agustian Kusmin; Herpin
